State,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
Alaska,0.052159042325780246,0.06887444128403088,0.03687511879870747,0.06049495875343722,0.01728608470181504,0.04299065420560748,0.0920495275333985
Alabama,0.08696380697050939,0.13658085401572376,0.08517564085175641,0.09161354830646169,0.0488893977558965,0.034821526034275734,0.028059071729957807
Arkansas,0.011159959418329387,0.05418060200668896,0.05552030456852792,0.051247370003005714,0.036597569692637597,0.047303820162736175,0.03792467737687648
Arizona,0.17371060171919772,0.23207201708880074,0.16842105263157894,0.031054583995760467,0.035978618421052634,0.031553879738043265,0.022893420546363986
California,0.20493009565857248,0.14274809160305343,0.19345357381429526,0.005933057203627001,0.010238148230580904,0.010244547257105089,0.01046777886817141
Colorado,0.08252762430939227,0.12886762360446571,0.11217858152020345,0.07228150406504065,0.07759744106148561,0.0205584872471416,0.05009156522675859
Connecticut,0.0520029858173675,0.06161305581835383,0.02673498941740002,0.04535098188130628,0.06196159833938765,0.04046129788897576,0.04959609242908135
District of Columbia,0.4244031830238727,0.30353817504655495,0.0,0.03485714285714286,0.001518498067366096,0.01144038594073053,0.011310983919324067
Delaware,0.08696176577011216,0.06779849090102086,0.08469292320482179,0.045027783100210765,0.03217821782178218,0.020961008970601297,0.01574597651152675
Florida,0.12836601307189544,0.16635773864689526,0.11720301946762018,0.10864153627311522,0.012830793905372895,0.0030087094220110845,0.004104831070413641
Georgia,0.12463507747585897,0.17252396166134185,0.24284741144414168,0.033022745957796654,0.037670778617853826,0.028889172951553112,0.04944713629022239
Hawaii,0.13996221878756654,0.12353118409159386,0.12201662644140521,0.029278202676864245,0.053407639614536165,0.06866527058304861,0.04940181518151815
Iowa,0.043370122804290374,0.06600119189511323,0.05688329839273235,0.03557259984131182,0.0007661856723279274,0.0022967972438433073,0.002800763844684914
Idaho,0.05941023417172593,0.09087187883749488,0.06604127579737336,0.054030271031326994,0.05610285523459676,0.0433201581027668,0.03318684649189271
Illinois,0.03881848118950205,0.053698366954851105,0.06026073479806728,0.046259673258813416,0.03385930309007232,0.016772655007949125,0.018450472988820264
Indiana,0.05829410135696483,0.04513934318984692,0.04444166249374061,0.04458827759798634,0.02421113023522662,0.011987452386287251,0.009631351710395218
Kansas,0.050249584026622295,0.04990494296577947,0.04421306775313113,0.05202312138728324,0.06167582417582418,0.06818475870099625,0.02265019379844961
Kentucky,0.045087384344250254,0.05663293985385048,0.06051336613911425,0.06119889641334337,0.028243913968329,0.05826916446385473,0.038987836663770634
Louisiana,0.05131352811195679,0.10532461466604391,0.10838791464187619,0.11990087685855891,0.12425531914893617,0.10885692657077971,0.11004915346805025
Massachusetts,0.12137395314965409,0.026950968719558394,0.07135328836424958,0.04761436301032956,0.009296647572542022,0.020468924451060664,0.05898978847556528
Maryland,0.011363636363636364,0.034911717495987156,0.028951790099521778,0.03127747770380605,0.03288672350791717,0.023820754716981134,0.05540198111034324
Maine,0.057687546422381775,0.04693352059925093,0.047065399664617105,-0.00032030749519538755,0.0029904944996261883,0.016292194654456395,0.003038558256496228
Michigan,0.06911281489594742,0.03831574633746542,0.06965959546127282,0.032469329397657044,0.03636201197176807,-8.620689655172413e-05,0.0340546598844728
Minnesota,0.05663099675363713,0.06816112881201639,0.06722062426760414,0.03423837093232182,0.009941125373998648,0.0095565749235474,0.025274517228322604
Missouri,-0.0017985611510791368,0.0077616077616077615,0.056938522899188555,0.03383214053350683,0.018628067967275015,0.03731619918448042,0.018820726622989874
Mississippi,0.001010713563776026,0.06906300484652665,0.07159047978843974,0.08566895822316235,0.06591979217405423,0.04478293983244478,0.04198862807989503
Montana,0.02792353823088456,0.023154056517775752,0.04793300071275838,0.04659071586464887,0.011372867587327376,0.010602409638554217,0.009537434430138292
North Carolina,0.033705306308358,0.1727252698832342,0.06875821904940822,0.0899982422218316,0.05079825834542816,0.024094536525475753,0.04435786003296868
North Dakota,0.03733420664810873,0.036937647987371744,0.04445121022986756,0.021133945488995772,0.03825292606337425,0.03299422601044817,0.023156774021825925
Nebraska,0.04667562122229684,0.05871029836381136,0.046363636363636364,0.04025485085432957,0.018234966592427616,0.002734107997265892,0.03721881390593047
New Hampshire,0.0759739628873992,0.07864559819413093,0.13025280428595346,0.08243223226188713,0.002531645569620253,0.005391755391755392,0.02912225918131831
New Jersey,0.035820617789356156,0.046348693074642955,0.032706670100437804,0.03216957605985037,0.024643633727953612,0.022164583824569678,0.023144944252210687
New Mexico,0.058849557522123896,0.07145842039281237,0.059867394695787834,0.04471021159153634,0.04966537513208876,0.03271812080536913,0.04077985377741673
Nevada,0.03320445758471685,0.17059211974466212,0.13632944716058668,0.05742181035909317,-0.00046948356807511736,0.006262721152340692,0.03640889995332192
New York,0.12087482913493458,0.009233449477351916,0.0709476954945624,0.05770470664087685,0.0554708930204206,0.05298873808836269,0.048265460030165915
Ohio,0.003658248760915742,0.0647854203409759,0.04328621908127209,0.03386960203217612,0.017813267813267815,0.014584590625628646,0.011698225438683454
Oklahoma,-0.03900017727353306,0.06068990961077292,0.05582608695652174,0.054686213144457256,0.02811182258316414,0.07580130639526052,0.05196272239480373
Oregon,0.10690815835871133,0.07645525629887055,0.07532956685499058,0.03977983487615712,0.03464870067372473,0.03883720930232558,0.048914260129841056
Pennsylvania,0.03969863807592002,0.052675585284280936,0.06654311181713882,0.024162184526272237,0.034337884786297165,0.02601156069364162,0.01964217738865626
Puerto Rico,0.01284796573875803,0.34725158562367864,0.025107885445272655,0.04898584003061615,-0.3024443633710325,0.09205020920502092,0.01053639846743295
Rhode Island,0.10042707389672577,0.09596612960131719,0.07457881746968559,0.09057319752346715,-0.002289167658639319,0.005781938325991189,0.0398759010858655
South Carolina,0.04248795444590451,0.05703781512605042,0.02911656563649011,0.03746620316724604,0.03927773641102011,0.025434354289808347,0.03196506550218341
South Dakota,0.05844155844155844,0.047587464765378874,0.07518201962646408,0.08759016634771088,0.034650785056848946,0.007326007326007326,0.046103896103896105
Tennessee,0.07245867041857193,0.06953099376844867,0.09935602575896964,0.0705718270571827,0.04689942678478374,0.11062717770034843,0.037871148459383754
Texas,0.05911258852435323,0.056768558951965066,0.039901859504132234,0.036135601639140695,0.021212847555129435,0.03708484919610374,0.043453660744596584
Utah,0.06970760233918129,0.07500546687076318,0.07811228641171684,0.05886792452830188,0.05381325730577334,0.04176530267162665,0.03278688524590164
Virginia,0.0468275953040496,0.11000504032258064,0.08241571120445,0.03838489774514945,0.04696495303504696,0.07881535790082964,0.05678261647142985
Vermont,0.05951856097345913,0.038115845539280956,0.049783549783549784,0.032836960672012215,0.03253234750462107,0.036591478696741855,0.03571428571428571
Washington,0.1380382403233328,0.11965578472886218,0.15822862022691228,0.11596797977670108,0.02038697498820198,-0.011654796041069282,-0.037248479176415536
Wisconsin,0.05488522660388464,0.07560329195145767,0.06302684476721566,0.06014395510552641,0.005868814729574223,0.0033176982038668344,0.004446978335233751
West Virginia,0.0579987253027406,0.04939759036144578,0.059318790662074246,0.06304190751445087,0.06253186066270179,0.06940668479130017,0.06819201435621355
Wyoming,0.02899751449875725,0.05394524959742351,0.05042016806722689,0.03709090909090909,0.029453015427769985,0.05495004541326067,0.052733534222987516
