State,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
Alabama,0.039410659,0.031878901,0.051654937,-0.008623045,0.013094517,0.114351596,0.071282484,0.027975686,0.028221073,-0.001092205,-0.018609013,-0.01947387,-0.0119583,-0.004276256
Alaska,0.064980774,0.001356334,-0.039681026,-0.003754619,-0.039801392,0.040101344,-0.001617283,0.091014539,0.004234337,0.031614493,-0.070651308,0.00790115,0.00113338,-0.122455141
Arizona,0.122369351,0.345769095,0.110103302,0.109498251,0.003609218,0.310365437,0.239757888,0.006593229,0.030568538,-0.068765577,-0.079261278,-0.066941659,-0.020578412,-0.092363732
Arkansas,0.016751176,0.013380775,0.027248618,0.037988837,0.025511232,0.011947258,0.052288244,0.05731677,0.034139867,0.019693269,-0.011415131,-0.013416861,0.002551717,0.003692778
California,0.019301676,0.016151847,0.002416287,0.010092804,0.012187884,0.042958272,0.017710031,0.002442986,0.017268139,0.013166044,0.00155135,0.112511414,-0.003723537,0.215508528
Colorado,0.026291549,0.06737194,0.054654448,0.073569434,-0.008525962,0.024336327,0.000412761,0.090425618,0.054408676,-0.011115915,-0.035899912,0.008956489,-0.005672221,0.081946824
Connecticut,0.009777353,-0.010288682,0.017460638,0.013060874,0.005620471,-0.003057429,0.024241438,0.04560625,0.028070794,0.026328551,0.004482961,0.008742342,0.015183568,0.005556863
Delaware,0.026147589,-0.020203851,0.029636137,0.001257297,-0.002758095,0.015649945,0.020279395,0.031572095,0.013967186,0.015102481,0.066480013,0.026080291,0.049695589,0.326809828
District of Columbia,0.045973943,0.08435006,0.014915887,0.057944012,0.050575838,0.094842277,0.090984752,-0.334717361,0.000183819,-0.030534552,-0.030196344,0.006329703,-0.023781334,0.052634571
Florida,0.213265761,0.078252221,0.039826214,0.067180719,0.073622797,0.058758834,0.194160193,0.149034249,0.092311575,0.026127678,0.006071234,-0.012833682,-0.028894596,-0.022092098
Georgia,0.064067127,0.034065602,-0.042251689,0.057791622,0.048616382,0.05025905,0.082419177,0.105077589,0.048845944,0.014210277,-0.0294253,0.013666011,0.001192125,0.013567009
Hawaii,-0.000986365,0.023173423,0.091824185,-0.010016637,-0.035850576,0.001906387,0.003588062,0.029324136,0.015489869,0.005562465,-0.016354578,-0.021219742,-0.049783202,-0.047527839
Idaho,0.100332469,0.003399219,0.009376069,0.027347105,-0.017126452,0.039102456,0.019170912,0.02585888,0.050321398,0.034532812,0.090536774,0.021715697,-0.027941802,0.190028535
Illinois,0.001933245,0.029802864,0.100563231,0.018416055,0.000819057,0.009746853,0.029335317,0.021516046,0.01631325,-0.02859816,-0.018386259,-0.022052352,-0.007678205,-0.017213551
Indiana,0.026267563,0.002886616,0.060697997,0.007483444,0.037492485,0.014544954,0.032725075,0.050384444,0.023301393,-0.019134119,-0.019549721,-0.008746041,-0.000680198,-0.035282947
Iowa,0.061460086,0.047636379,0.104248491,0.003962054,0.199811974,0.140187081,0.311956918,0.171536379,0.051903665,-0.020222614,-0.061013152,-0.365365791,-0.017007432,-0.050156071
Kansas,0.005645293,0.000291176,-0.005503656,0.024022,-0.017196682,0.032830794,0.008683523,-0.009472242,0.017598479,0.005378249,0.040918701,0.108809247,-0.005556296,-0.050900059
