State,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
New York,0.083572385,0.016736174,0.039727663,0.001166613,0.003073718,0.005237837,0.050194375,0.082364492,0.03661772,-0.005264152,-0.027792633,-0.019603381,-0.00512814,-0.056845423
North Carolina,0.078416222,0.043887462,0.068543025,-0.092059532,-0.009245271,0.039068294,0.131619312,0.093974992,0.027963645,-0.014090643,-0.014543415,-0.011342429,-0.028860648,-0.041752783
North Dakota,0.008523168,0.089812538,0.04800846,-0.080250235,0.027353178,-0.31871574,0.000835946,0.121946127,-0.050623488,0.036953539,-0.031761036,-0.005076638,0.005691296,-0.015318568
Ohio,0.074893086,-0.00080689,-0.012513783,0.029398999,0.016141993,0.037357998,0.050784081,0.100521365,0.02710114,-0.093063778,-0.08026844,-0.01696031,-0.051514728,-0.032991101
Oklahoma,0.067825047,0.010187793,0.011714872,0.020378124,-0.054463856,0.029995593,0.036198909,0.090039866,0.045687017,-0.027924281,-0.036366764,-0.075746194,-0.030185491,-0.024412101
Oregon,-0.011456836,-0.056041935,0.018743366,-0.014586669,0.010618408,0.066109534,0.107337331,0.067611966,0.03089063,-0.006711805,-0.041467297,-0.064378723,-0.053353617,0.001647734
Pennsylvania,0.069072597,0.026165466,-0.004208088,0.029550697,0.031415526,0.022227551,0.053956217,0.10903136,0.001578435,-0.055938661,-0.040976129,-0.04317281,-0.049615277,-0.068190734
Rhode Island,-0.005310655,0.052083333,0.0163597,-0.026536313,0.040853659,0.039663669,0.005203845,0.01675075,-0.018355765,-0.041891044,-0.041619255,-0.054004461,-0.020613852,-0.045629296
South Carolina,0.052303563,0.01528678,0.000791548,0.00139271,0.018140142,0.048214512,0.080466242,0.115459067,0.019155809,0.027021363,-0.009820176,-0.046709171,-0.041884251,-0.040775029
Tennessee,0.012783907,-0.094060358,-0.58596789,0.044072429,0.099558246,-0.019641396,-0.005539956,0.249465812,0.089781958,-0.008294569,-0.027634925,-0.026792979,-0.034099731,-0.042784716
Texas,0.00166655,0.111453924,0.116577577,0.015635755,0.030734451,0.018267641,0.017964014,0.15066697,0.005496065,-0.094440285,-0.053967723,-0.025626698,-0.040470531,-0.017209146
Utah,0.032652842,0.023830404,-0.02154753,-0.013355017,0.017263632,0.032787894,0.085852344,0.092638757,0.050969272,-0.002556445,-0.025948959,-0.018664766,-0.031669488,0.03860823
Vermont,0.067759618,0.198586617,-0.002035852,-0.027990462,0.024476335,-0.009325157,0.078432162,0.092176858,6.84E-05,-0.145562117,-0.051645698,-0.073070538,-0.025315687,-0.092369978
Virginia,0.288154045,-0.015951828,-0.029683306,-0.065718869,-0.024039316,-0.138627677,0.017748979,0.106435986,0.086252189,-0.030402487,-0.007601402,0.066483155,-0.00129054,-0.139108939
Washington,0.004198369,-0.037063948,0.032050584,0.017973179,0.023708842,0.02166279,0.060051999,0.07734864,0.020755961,-0.002630335,-0.036081676,-0.026003388,-0.042929471,-0.05026468
West Virginia,0.035691742,-0.026840367,-0.005567315,-0.004653796,-0.163854337,0.022174361,-0.061862458,0.058168077,-0.007471864,-0.106881866,-0.09316416,-0.215292118,-0.171203328,-0.265039502
Wisconsin,0.356784231,0.277353922,0.088447783,0.091019617,0.005812728,0.013504611,-0.027919757,0.194820984,0.070767196,-0.057252815,-0.118964822,-0.155049624,0.066007718,0.016448622
Wyoming,0.008084863,0.049490299,0.024376092,0.014959613,-0.138634804,0.020765573,0.041276571,0.082810119,0.014400315,-0.032664976,-0.019230438,-0.028954988,-0.041577061,-0.162335091
